citation_journal,link,PMID
"Carpenter WT, Strauss JS, Muleh S. Are there pathognomonic symptoms in schizophrenia? An empiric investigation of Schneider's first‐rank symptoms.  Archives of General Psychiatry 1973;28(6):847‐52.  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 264",https://www.ncbi.nlm.nih.gov/pubmed/4707991,4707991
"Daradkeh TK, El‐Rufaie OEF, Younis YO, Ghubash R. The diagnostic stability of ICD‐10 psychiatric diagnoses in clinical practice.  European Psychiatry 1997;12:136‐9.  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 5",https://www.ncbi.nlm.nih.gov/pubmed/19698520,19698520
"Kendell RE, Brockington IF, Leff JP. Prognostic implications of six alternative definitions of schizophrenia.  Archives of General Psychiatry 1979;36(1):25‐31.  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 123",https://www.ncbi.nlm.nih.gov/pubmed/760695,760695
"Tanenberg‐Karant M, Fennig S, Ram R, Krishna J, Jandorf L, Bromet EJ. Bizarre delusions and first‐rank symptoms in a first‐admission sample: a preliminary analysis of prevalence and correlates. Comprehensive Psychiatry1995; Vol. 36, issue 6:428‐34. [0010‐440X]    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/8565447,8565447
"Wu Y. Study of the diagnostic specificity by Schneider's first rank symptoms. [Chinese]. Zhonghua shen jing jing shen ke za zhi = Chinese Journal of Neurology and Psychiatry1990; Vol. 23, issue 2:79‐80, 126. [0412‐4057]    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/2390876,2390876
"Ndetei DM, Singh A. Schneider's first rank symptoms of schizophrenia in Kenyan patients. Acta Psychiatrica Scandinavica1983; Vol. 67, issue 3:148‐53. [0001‐690X]    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/6858711,6858711
"Brockington IF, Kendell RE, Leff JP. Definitions of schizophrenia: concordance and prediction of outcome. Psychological Medicine1978; Vol. 8, issue 3:387‐98. [0033‐2917: (Print).]    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/704706,704706
"Radhakrishnan J, Mathew K, Richard J, Verghese A. Schneider's first rank symptoms‐‐prevalence, diagnostic use and prognostic implications. British Journal of Psychiatry1983; Vol. 142:557‐9. [0007‐1250]    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/6882976,6882976
"Gonzalez‐Pinto A, Os J, Peralta V, Perez de Heredia JL, Mosquera F, Aldama A, et al. The role of age in the development of Schneiderian symptoms in patients with a first psychotic episode. Acta Psychiatrica Scandinavica2004; Vol. 109, issue 4:264‐8. [0001‐690X]    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15008799,15008799
"Carpenter WT, Strauss JS. Cross‐cultural evaluation of Schneider's first‐rank symptoms of schizophrenia: a report from the International Pilot Study of Schizophrenia. American Journal of Psychiatry1974; Vol. 131, issue 6:682‐7. [0002‐953X]    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/4827800,4827800
