citation_journal,link,PMID
"Clevert DA, Helck A, D'Anastasi M, Gürtler V, Sommer WH, Meimarakis G, et al. Improving the follow up after EVAR by using ultrasound image fusion of CEUS and MS‐CT.  Clinical Hemorheology and Microcirculation 2011;49(1‐4):91‐104. CENTRAL    PubMed     Google Scholar   Web of Science® Times Cited: 16",https://www.ncbi.nlm.nih.gov/pubmed/22214681,22214681
"Clevert DA, Minaifar N, Weckbach S, Kopp R, Meimarakis G, Clevert DA, et al. Color duplex ultrasound and contrast‐enhanced ultrasound in comparison to MS‐CT in the detection of endoleak following endovascular aneurysm repair.  Clinical Hemorheology and Microcirculation 2008;39(1‐4):121‐32. [PUBMED: 18503118]CENTRAL    PubMed     Google Scholar   Web of Science® Times Cited: 38",https://www.ncbi.nlm.nih.gov/pubmed/18503118,18503118
"Wolf YG, Johnson BL, Hill BB, Rubin GD, Fogarty TJ, Zarins CK. Duplex ultrasound scanning versus computed tomographic angiography for postoperative evaluation of endovascular abdominal aortic aneurysm repair.  Journal of Vascular Surgery 2000;32(6):1142‐8. [PUBMED: 11107086]CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 82",https://www.ncbi.nlm.nih.gov/pubmed/11107086,11107086
"d'Audiffret A, Desgranges P, Kobeiter DH, Becquemin JP. Follow‐up evaluation of endoluminally treated abdominal aortic aneurysms with duplex ultrasonography: validation with computed tomography.  Journal of Vascular Surgery 2001;33(1):42‐50. [PUBMED: 11137922]CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 65",https://www.ncbi.nlm.nih.gov/pubmed/11137922,11137922
"Ashoke R, Brown LC, Rodway A, Choke E, Thompson MM, Greenhalgh RM, et al. Color duplex ultrasonography is insensitive for the detection of endoleak after aortic endografting: a systematic review.  Journal of Endovascular Therapy 2005;12(3):297‐305. CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 48",https://www.ncbi.nlm.nih.gov/pubmed/15943504,15943504
"Raman KG, Missig‐Carroll N, Richardson T, Muluk SC, Makaroun MS. Color‐flow duplex ultrasound scan versus computed tomographic scan in the surveillance of endovascular aneurysm repair.  Journal of Vascular Surgery 2003;38(4):645‐51. [PUBMED: 14560207]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 84",https://www.ncbi.nlm.nih.gov/pubmed/14560207,14560207
"Giannoni MF, Palombo G, Sbarigia E, Speziale F, Zaccaria A, Fiorani P. Contrast‐enhanced ultrasound imaging for aortic stent‐graft surveillance.  Journal of Endovascular Therapy 2003;10(2):208‐17. [PUBMED: 12877601]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 32",https://www.ncbi.nlm.nih.gov/pubmed/12877601,12877601
"Sandford RM, Bown MJ, Fishwick G, Murphy F, Naylor M, Sensier Y, et al. Duplex ultrasound scanning is reliable in the detection of endoleak following endovascular aneurysm repair.  European Journal of Vascular and Endovascular Surgery 2006;32(5):537‐41. [PUBMED: 16875850]CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 27",https://www.ncbi.nlm.nih.gov/pubmed/16875850,16875850
"Costa P, Bureau Du Colombier P, Lermusiaux P. Duplex ultrasound detection of type II endoleaks by after endovascular aneurysm repair: interest of contrast enhancement [Detection echo‐Doppler des endofuites de type II apres endoprotheses aortiques: interet des agents de contraste.].  Journal des Maladies Vasculaires 2013;38(6):352‐9. [PUBMED: 24113391]CENTRAL  Link to article   PubMed     Google Scholar   CAS",https://www.ncbi.nlm.nih.gov/pubmed/24113391,24113391
"McWilliams RG, Martin J, White D, Gould DA, Harris PL, Fear SC, et al. Use of contrast‐enhanced ultrasound in follow‐up after endovascular aortic aneurysm repair.  Journal of Vascular and Interventional Radiology 1999;10(8):1107‐14. [PUBMED: 10496715]CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 55",https://www.ncbi.nlm.nih.gov/pubmed/10496715,10496715
"Pages S, Favre JP, Cerisier A, Pyneeandee S, Boissier C, Veyret C. Comparison of color duplex ultrasound and computed tomography scan for surveillance after aortic endografting.  Annals of Vascular Surgery 2001;15(2):155‐62. [PUBMED: 11265078]CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 32",https://www.ncbi.nlm.nih.gov/pubmed/11265078,11265078
"Motta R, Rubaltelli L, Vezzaro R, Vida V, Marchesi P, Stramare R, et al. Role of multidetector CT angiography and contrast‐enhanced ultrasound in redefining follow‐up protocols after endovascular abdominal aortic aneurysm repair.  La Radiologia Medica 2012;117(6):1079‐92. [PUBMED: 22430681]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 8",https://www.ncbi.nlm.nih.gov/pubmed/22430681,22430681
"Gray C, Goodman P, Herron CC, Lawler LP, O'Malley MK, O'Donohoe MK, et al. Use of colour duplex ultrasound as a first line surveillance tool following EVAR is associated with a reduction in cost without compromising accuracy.  European Journal of Vascular and Endovascular Surgery 2012;44(2):145‐50. [PUBMED: 22717670]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 20",https://www.ncbi.nlm.nih.gov/pubmed/22717670,22717670
"Golzarian J, Murgo S, Dussaussois L, Guyot S, Said KA, Wautrecht JC, et al. Evaluation of abdominal aortic aneurysm after endoluminal treatment: comparison of color Doppler sonography with biphasic helical CT.  American Journal of Roentgenology 2002;178(3):623‐8. [PUBMED: 11856687]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 35",https://www.ncbi.nlm.nih.gov/pubmed/11856687,11856687
"Parent FN, Meier GH, Godziachvili V, LeSar CJ, Parker FM, Carter KA, et al. The incidence and natural history of type I and II endoleak: a 5‐year follow‐up assessment with color duplex ultrasound scan.  Journal of Vascular Surgery 2002;35(3):474‐81. [PUBMED: 11877694]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 89",https://www.ncbi.nlm.nih.gov/pubmed/11877694,11877694
"Giannoni MF, Fanelli F, Citone M, Cristina Acconcia M, Speziale F, Gossetti B. Contrast ultrasound imaging: the best method to detect type II endoleak during endovascular aneurysm repair follow‐up.  Interactive Cardiovascular and Thoracic Surgery 2007;6(3):359‐62. [PUBMED: 17669866]CENTRAL  Link to article   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17669866,17669866
"Perini P, Sediri I, Midulla M, Delsart P, Mouton S, Gautier C, et al. Single‐centre prospective comparison between contrast‐enhanced ultrasound and computed tomography angiography after EVAR.  European Journal of Vascular and Endovascular Surgery 2011;42(6):797‐802. [PUBMED: 21962588]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 36",https://www.ncbi.nlm.nih.gov/pubmed/21962588,21962588
"AbuRahma AF, Welch CA, Mullins BB, Dyer B. Computed tomography versus color duplex ultrasound for surveillance of abdominal aortic stent‐grafts.  Journal of Endovascular Therapy 2005;12(5):568‐73. [PUBMED: 16212456]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 44",https://www.ncbi.nlm.nih.gov/pubmed/16212456,16212456
"Heilberger P, Schunn C, Ritter W, Weber S, Raithel D. Postoperative color flow duplex scanning in aortic endografting.  Journal of Endovascular Surgery 1997;4(3):262‐71. [PUBMED: 9291051]CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 71",https://www.ncbi.nlm.nih.gov/pubmed/9291051,9291051
"Badri H, Haddad M, Ashour H, Nice C, Timmons G, Bhattacharya V. Duplex ultrasound scanning (DUS) versus computed tomography angiography (CTA) in the follow‐up after EVAR.  Angiology 2010;61(2):131‐6. [PUBMED: 19825870]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 6",https://www.ncbi.nlm.nih.gov/pubmed/19825870,19825870
"Iezzi R, Basilico R, Giancristofaro D, Pascali D, Cotroneo AR, Storto ML. Contrast‐enhanced ultrasound versus color duplex ultrasound imaging in the follow‐up of patients after endovascular abdominal aortic aneurysm repair.  Journal of Vascular Surgery 2009;49(3):552‐60. [PUBMED: 19135839]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 51",https://www.ncbi.nlm.nih.gov/pubmed/19135839,19135839
"Oikonomou K, Ventin FC, Paraskevas KI, Geisselsoder P, Ritter W, Verhoeven EL. Early follow‐up after endovascular aneurysm repair: is the first postoperative computed tomographic angiography scan necessary?.  Journal of Endovascular Therapy 2012;19(2):151‐6. [PUBMED: 22545878]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 8",https://www.ncbi.nlm.nih.gov/pubmed/22545878,22545878
"Schmieder GC, Stout CL, Stokes GK, Parent FN, Panneton JM. Endoleak after endovascular aneurysm repair: duplex ultrasound imaging is better than computed tomography at determining the need for intervention.  Journal of Vascular Surgery 2009;50(5):1012‐7; discussion 1017‐8. [PUBMED: 19878784]CENTRAL  Link to article   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19878784,19878784
"Bendick PJ, Bove PG, Long GW, Zelenock GB, Brown OW, Shanley CJ. Efficacy of ultrasound scan contrast agents in the noninvasive follow‐up of aortic stent grafts.  Journal of Vascular Surgery 2003;37(2):381‐5. [PUBMED: 12563210]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 67",https://www.ncbi.nlm.nih.gov/pubmed/12563210,12563210
"McLafferty RB, McCrary BS, Mattos MA, Karch LA, Ramsey DE, Solis MM, et al. The use of color‐flow duplex scan for the detection of endoleaks.  Journal of Vascular Surgery 2002;36(1):100‐4. [PUBMED: 12096265]CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 37",https://www.ncbi.nlm.nih.gov/pubmed/12096265,12096265
"Thompson MM, Boyle JR, Hartshorn T, Maltezos C, Nasim A, Sayers RD, et al. Comparison of computed tomography and duplex imaging in assessing aortic morphology following endovascular aneurysm repair.  British Journal of Surgery 1998;85(3):346‐50. [PUBMED: 9529490]CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 57",https://www.ncbi.nlm.nih.gov/pubmed/9529490,9529490
"Henao EA, Hodge MD, Felkai DD, McCollum CH, Noon GP, Lin PH, et al. Contrast‐enhanced Duplex surveillance after endovascular abdominal aortic aneurysm repair: improved efficacy using a continuous infusion technique.  Journal of Vascular Surgery 2006;43(2):259‐64; discussion 264. [PUBMED: 16476596]CENTRAL  Link to article   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/16476596,16476596
