citation_journal,link,PMID
"Guerriero S, Saba L, Ajossa S, Peddes C, Angiolucci M, Perniciano M, et al. Three‐dimensional ultrasonography in the diagnosis of deep endometriosis.  Human Reproduction 2014;29(6):1189‐98. [DOI: 10.1093/humrep/deu054]    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/24664128,24664128
"Piessens S, Healey M, Maher P, Tsaltas J, Rombauts L. Can anyone screen for deep infiltrating endometriosis with transvaginal ultrasound?.  The Australian and New Zealand Journal of Obstetrics and Gynaecology 2014;54(5):462‐8.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25287563,25287563
"Eskenazi B, Warner M, Bonsignore L, Olive D, Samuels S, Vercellini P. Validation study of nonsurgical diagnosis of endometriosis.  Fertility and Sterility 2001;76:929‐35.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/11704113,11704113
"Goncalves MODC, Podgaec S, Dias JA, Gonzalez M, Abrao MS. Transvaginal ultrasonography with bowel preparation is able to predict the number of lesions and rectosigmoid layers affected in cases of deep endometriosis, defining surgical strategy.  Human Reproduction 2010;25:665‐71.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20023291,20023291
"Guerriero S, Mais V, Ajossa S, Paoletti AM, Angiolucci M, Melis GB. Transvaginal ultrasonography combined with CA‐125 plasma levels in the diagnosis of endometrioma.  Fertility and Sterility 1996;65:293‐8.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/8566251,8566251
"Ha HK, Lim YT, Kim HS, Suh TS, Song HH, Kim SJ. Diagnosis of pelvic endometriosis: fat‐suppressed T1‐weighted vs conventional MR images.  AJR American Journal of Roentgenology 1994;163:127‐31.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/8010198,8010198
"Menada MV, Remorgida V, Abbamonte LH, Nicoletti A, Ragni N, Ferrero S. Does transvaginal ultrasonography combined with water‐contrast in the rectum aid in the diagnosis of rectovaginal endometriosis infiltrating the bowel?.  Human Reproduction 2008;23:1069‐75.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/18310049,18310049
"Guerriero S, Ajossa S, Gerada M, Virgilio B, Angioni S, Melis GB. Diagnostic value of transvaginal 'tenderness‐guided' ultrasonography for the prediction of location of deep endometriosis.  Human Reproduction 2008;23:2452‐7.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/18664469,18664469
"Grasso RF, Giacomo V, Sedati P, Sizzi O, Florio G, Faiella E, et al. Diagnosis of deep infiltrating endometriosis: accuracy of magnetic resonance imaging and transvaginal 3D ultrasonography.  Abdominal Imaging 2010;35(6):716‐25.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19924468,19924468
"Ubaldi F, Wisanto A, Camus M, Tournaye H, Clasen K, Devroey P. The role of transvaginal ultrasonography in the detection of pelvic pathologies in the infertility workup.  Human Reproduction 1998;13:330‐3.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/9557832,9557832
Okada S. Studies on diagnosis of endometriosis by magnetic resonance imaging by means of fat saturation technique.  Acta Obstetrica et Gynaecologica Japonica 1995;47:264‐70.    PubMed     Google Scholar,https://www.ncbi.nlm.nih.gov/pubmed/7699286,7699286
"Ferrero S, Biscaldi E, Morotti M, Venturini PL, Remorgida V, Rollandi GA, et al. Multidetector computerized tomography enteroclysis vs. rectal water contrast transvaginal ultrasonography in determining the presence and extent of bowel endometriosis.  Ultrasound in Obstetrics and Gynecology 2011;37(5):603‐13.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/21351180,21351180
"Ghezzi F, Raio L, Cromi A, Duwe DG, Beretta P, Buttarelli M, et al. ""Kissing ovaries"": a sonographic sign of moderate to severe endometriosis.  Fertility and Sterility 2005;83(1):143‐7.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15652900,15652900
"Bergamini V, Ghezzi F, Scarperi S, Raffaelli R, Cromi A, Franchi M. Preoperative assessment of intestinal endometriosis: a comparison of transvaginal sonography with water‐contrast in the rectum, transrectal sonography, and barium enema.  Abdominal Imaging 2010;35:732‐6.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20364253,20364253
"Fedele L, Bianchi S, Portuese A, Borruto F, Dort AM. Transrectal ultrasonography in the assessment of rectovaginal endometriosis.  Obstetrics and Gynecology 1998;91:444‐8.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/9491875,9491875
"Thomeer MG, Steensma AB, Santbrink EJ, Willemssen FE, Wielopolski PA, Hunink MG, et al. Can magnetic resonance imaging at 3.0‐Tesla reliably detect patients with endometriosis? Initial results.  Journal of Obstetrics and Gynaecology Research 2014;40(4):1051‐8.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/24428703,24428703
"Chamie LP, Blasbalg R, Goncalves MOC, Carvalho FM, Abrao MS, Oliveira IS. Accuracy of magnetic resonance imaging for diagnosis and preoperative assessment of deeply infiltrating endometriosis.  International Journal of Gynecology and Obstetrics 2009;106:198‐201.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19467541,19467541
"Bazot M, Stivalet A, Darai E, Coudray C, Thomassin‐Naggara I, Poncelet E. Comparison of 3D and 2D FSE T2‐weighted MRI in the diagnosis of deep pelvic endometriosis: preliminary results.  Clinical Radiology 2013;68(1):47‐54.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22832144,22832144
"Takeuchi H, Kuwatsuru R, Kitade M, Sakurai A, Kikuchi I, Shimanuki H, et al. A novel technique using magnetic resonance imaging jelly for evaluation of rectovaginal endometriosis.  Fertility and Sterility 2005;83(3):442‐7.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15705388,15705388
"Reid S, Lu C, Hardy N, Casikar I, Reid G, Cario G, et al. Office gel sonovaginography for the diagnosis of posterior deep infiltrating endometriosis: a multicenter prospective observational study.  Ultrasound in Obstetrics and Gynecology 2014;44(6):710‐8. [DOI: 10.1002/uog.13422]    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/24862965,24862965
"Sugimura K, Okizuka H, Imaoka I, Kaji Y, Takahashi K, Kitao M, et al. Pelvic endometriosis: detection and diagnosis with chemical shift MR imaging.  Radiology 1993;188(2):435‐8.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/8327693,8327693
