citation_journal,link,PMID
"Said HM, Kock MM, Ismail NA, Baba K, Omar SV, Osman AG, et al. Evaluation of the GenoType® MTBDRsl assay for susceptibility testing of second‐line anti‐tuberculosis drugs.  International Journal of Tuberculosis and Lung Disease 2012;16(1):104‐9. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22236854,22236854
"Kambli P, Ajbani K, Nikam C, Khillari A, Shetty A, Udwadia Z, et al. Determination of MICs of levofloxacin for Mycobacterium tuberculosis with gyrA mutations.  The International Journal of Tuberculosis and Lung Disease 2015;19(10):1227‐9.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26459538,26459538
"Tomasicchio M, Theron G, Pietersen E, Streicher E, Stanley‐Josephs D, Helden P, et al. The diagnostic accuracy of the MTBDRplus and MTBDRsl assays for drug‐resistant TB detection when performed on sputum and culture isolates.  Scientific Reports 2016;6:17850. [DOI: 10.1038/srep17850] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26860462,26860462
"Kontsevaya I, Ignatyeva O, Nikolayevskyy V, Balabanova Y, Kovalyov A, Kritsky A, et al. Diagnostic accuracy of the genotype MTBDRsl assay for rapid diagnosis of extensively drug‐resistant tuberculosis in HIV‐coinfected patients.  Journal of Clinical Microbiology 2013;51(1):243‐8.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23152552,23152552
"Catanzaro A, Rodwell TC, Catanzaro DG, Garfein RS, Jackson RL, Seifert M, et al. Performance comparison of three rapid tests for the diagnosis of drug‐resistant tuberculosis.  PLoS One 2015;10(8):e0136861.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26322781,26322781
"Ferro B, García P, Nieto LM, Soolingen D. Predictive value of molecular drug resistance testing of Mycobacterium tuberculosis isolates in Valle del Cauca, Colombia.  Journal of Clinical Microbiology 2013;51(7):2220‐4.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23658272,23658272
"Barnard M, Warren R, Gey Van Pittius N, Helden P, Bosman M, Streicher E, et al. Genotype MTBDRsl line probe assay shortens time to diagnosis of extensively drug‐resistant tuberculosis in a high‐throughput diagnostic laboratory.  American Journal of Respiratory and Critical Care Medicine 2012;186(12):1298‐305.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23087027,23087027
"Ingen J, Simons S, Zwaan R, Laan T, Kamst‐van Agterveld M, Boeree MJ, et al. Comparative study on genotypic and phenotypic second‐line drug resistance testing of Mycobacterium tuberculosis complex isolates.  Journal of Clinical Microbiology 2010;48(8):2749–53.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20554815,20554815
"Ignatyeva O, Kontsevaya I, Kovalyov A, Balabanova Y, Nikolayevskyy V, Toit K, et al. Detection of resistance to second‐line antituberculosis drugs by use of the genotype MTBDRsl assay: a multicenter evaluation and feasibility study.  Journal of Clinical Microbiology 2012;50(5):1593‐7.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22378910,22378910
"Huang WL, Chi TL, Wu MH, Jou R. Performance assessment of the GenoType MTBDRsl test and DNA sequencing for detection of second‐line and ethambutol drug resistance among patients infected with multidrug‐resistant Mycobacterium tuberculosis .  Journal of Clinical Microbiology 2011;49(7):2502–8.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/21562102,21562102
