citation_journal,link,PMID
"Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent.  Transactions of the Royal Society of Tropical Medicine and Hygiene 2008;102(1):32‐40.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17942129,17942129
"Machado de Assis TS, Rabello A, Werneck GL. Latent class analysis of diagnostic tests for visceral leishmaniasis in Brazil.  Tropical Medicine and International Health 2012;17(10):1202‐7.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22897740,22897740
"Cota GF, Sousa MR, Freitas Nogueira BM, Gomes LI, Oliveira E, Assis TS, et al. Comparison of parasitological, serological, and molecular tests for visceral leishmaniasis in HIV‐infected patients: a cross‐sectional delayed‐type study.  American Journal of Tropical Medicine and Hygiene 2013;89:570‐7.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23836568,23836568
"ter Horst R, Tefera T, Assefa G, Ebrahim AZ, Davidson RN, Ritmeijer K. Field evaluation of rK39 test and direct agglutination test for diagnosis of visceral leishmaniasis in a population with high prevalence of human immunodeficiency virus in Ethiopia.  American Journal of Tropical Medicine and Hygiene 2009;80(6):929‐34.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19478251,19478251
"Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent.  Transactions of the Royal Society of Tropical Medicine and Hygiene 2008;102(1):32‐40.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17942129,17942129
"Boelaert M, Rijal S, Regmi S, Singh R, Karki B, Jacquet D, et al. A comparative study of the effectiveness of diagnostic tests for visceral leishmaniasis.  American Journal of Tropical Medicine and Hygiene 2004;70(1):72‐7.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/14971701,14971701
"Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent.  Transactions of the Royal Society of Tropical Medicine and Hygiene 2008;102(1):32‐40.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17942129,17942129
"Cota GF, Sousa MR, Freitas Nogueira BM, Gomes LI, Oliveira E, Assis TS, et al. Comparison of parasitological, serological, and molecular tests for visceral leishmaniasis in HIV‐infected patients: a cross‐sectional delayed‐type study.  American Journal of Tropical Medicine and Hygiene 2013;89:570‐7.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23836568,23836568
"Peruhype‐Magalhaes V, Machado‐de‐Assis TS, Rabello A. Use of the Kala‐Azar Detect(R) and IT‐LEISH(R) rapid tests for the diagnosis of visceral leishmaniasis in Brazil.  Memorias do Instituto Oswaldo Cruz. 2012;107:951‐2.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23147155,23147155
"Assis TS, Braga AS, Pedras MJ, Oliveira E, Barral A, Siqueira IC, et al. Multi‐centric prospective evaluation of rk39 rapid test and direct agglutination test for the diagnosis of visceral leishmaniasis in Brazil.  Transactions of the Royal Society of Tropical Medicine and Hygiene 2011;105(2):81‐5.    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20970152,20970152
