citation_journal,link,PMID
"Mattsson N, Portelius E, Rolstad S, Gustavsson M, Andreasson U, Stridsberg M, et al. Longitudinal cerebrospinal fluid biomarkers over four years in mild cognitive impairment.  Journal of Alzheimer's Disease 2012;30(4):767‐78.    PubMed     Google Scholar   Web of Science® Times Cited: 41",https://www.ncbi.nlm.nih.gov/pubmed/22475796,22475796
"Seppala TT, Koivisto AM, Hartikainen P, Helisalmi S, Soininen H, Herukka S‐K. Longitudinal changes of CSF biomarkers in Alzheimer's disease.  Journal of Alzheimer's Disease 2011;25(4):583‐94.    PubMed     Google Scholar   Web of Science® Times Cited: 35",https://www.ncbi.nlm.nih.gov/pubmed/21460434,21460434
"Herukka SK, Hallikainen M, et al. CSF Abeta42 and tau or phosphorylated tau and prediction of progressive mild cognitive impairment.  Neurology 2005;64:1294‐7.  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 123",https://www.ncbi.nlm.nih.gov/pubmed/15824371,15824371
"Herukka SK, Helisalmi S, Hallikainen M, Tervo S, Soinien H, Pirtilla T. CSF Aß42, tau and phosphorylated tau, APOE ϵ4 allele and MCI type in progressive MCI.  Neurobiology of Aging 2007;28:507‐14.  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 77",https://www.ncbi.nlm.nih.gov/pubmed/16546302,16546302
"Ewers M, Walsh C, Trojanowski JQ, Shaw LM, Petersen RC, Jack CR, et al. Prediction of conversion from mild cognitive impairment to Alzheimer's disease dementia based upon biomarkers and neuropsychological test performance.  Neurobiology of Aging 2012;33(7):1203‐14.e2.  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 129",https://www.ncbi.nlm.nih.gov/pubmed/21159408,21159408
"Zetterberg H, Wahlund LO, Blennow K. Cerebrospinal fluid markers for prediction of Alzheimer's disease.  Neuroscience Letters 2003;352:67‐9.  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 112",https://www.ncbi.nlm.nih.gov/pubmed/14615052,14615052
"Galluzzi S, Geroldi C, Ghidoni R, Paghera B, Amicucci G, Bonetti M, et al. The new Alzheimer's criteria in a naturalistic series of patients with mild cognitive impairment.  Journal of Neurology 2010;257:2004‐14.  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 33",https://www.ncbi.nlm.nih.gov/pubmed/20632026,20632026
"Bjerke M, Andreasson U, Rolstad S, Nordlund A, Lind K, Zetterberg H, et al. Subcortical vascular dementia biomarker pattern in mild cognitive impairment.  Dementia and Geriatric Cognitive Disorders 2009;28(4):348‐56.  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 18",https://www.ncbi.nlm.nih.gov/pubmed/19864909,19864909
"Okonkwo OC, Mielke MM, Griffith HR, Moghekar AR, O'Brien RJ, Shaw LM, et al. Cerebrospinal fluid profiles and prospective course and outcome in patients with amnestic mild cognitive impairment.  Archives of Neurology 2011;68(1):113‐9.  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 18",https://www.ncbi.nlm.nih.gov/pubmed/21220682,21220682
"Hampel H, Teipel SJ, Fuchsberger T, Andreasen N, Wiltfang J, Otto M, at al. Value of CSF ß‐amyloid1‐42 and tau as predictors of Alzheimer's disease in patients with mild cognitive impairment.  Molecular Psychiatry 2004;9:705‐10.  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 175",https://www.ncbi.nlm.nih.gov/pubmed/14699432,14699432
