citation_journal,link,PMID
"Wald NJ, Rodeck C, Hackshaw AK, Walters J, Chitty L, Mackinson AM. First and second trimester antenatal screening for Down's syndrome: the results of the Serum, Urine and Ultrasound Screening Study (SURUSS).  Journal of Medical Screening 2003;10(2):56‐104. CENTRAL    PubMed     Google Scholar   Web of Science® Times Cited: 246",https://www.ncbi.nlm.nih.gov/pubmed/14746340,14746340
"Habayeb O, Goodburn S, Chudleigh T, Brockelsby J, Missfelder‐Lobos H, Hackett G, et al. The NTplus method of screening for Down syndrome: achieving the 2010 targets?.  Prenatal Diagnosis 2010;30(5):434‐7. CENTRAL    PubMed     Google Scholar   Web of Science® Times Cited: 7",https://www.ncbi.nlm.nih.gov/pubmed/20440731,20440731
"Malone FD, Canick JA, Ball RH, Nyberg DA, Comstock CH, Bukowski R, et al. First‐trimester or second‐trimester screening, or both, for Down's syndrome (see comment).  New England Journal of Medicine 2005;353(19):2001‐11. CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 536",https://www.ncbi.nlm.nih.gov/pubmed/16282175,16282175
"Guanciali‐Franchi P, Iezzi I, Matarrelli B, Morizio E, Calabrese G, Palka G. Effectiveness of crosstrimester test in selecting high‐risk pregnant women to undergo invasive prenatal diagnosis.  Prenatal Diagnosis 2010;30(8):795‐6. CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 3",https://www.ncbi.nlm.nih.gov/pubmed/20575153,20575153
"Babbur V, Lees CC, Goodburn SF, Morris N, Breeze AC, Hackett GA. Prospective audit of a one‐centre combined nuchal translucency and triple test programme for the detection of trisomy 21.  Prenatal Diagnosis 2005;25(6):465‐9. CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 5",https://www.ncbi.nlm.nih.gov/pubmed/15966036,15966036
"Wald NJ, Huttly WJ, Murphy KW, Ali K, Bestwick JP, Rodeck CH. Antenatal screening for Down's syndrome using the Integrated test at two London hospitals.  Journal of Medical Screening 2009;16(1):7‐10. CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 6",https://www.ncbi.nlm.nih.gov/pubmed/19349524,19349524
"Palomaki GE, Wright DE, Summers AM, Neveux LM, Meier C, O'Donnell A, et al. Repeated measurement of pregnancy‐associated plasma protein‐A (PAPP‐A) in Down syndrome screening: a validation study.  Prenatal Diagnosis 2006;26(8):730‐9. CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 13",https://www.ncbi.nlm.nih.gov/pubmed/16810709,16810709
"Wald NJ, Rodeck C, Hackshaw AK, Rudnicka A. SURUSS in perspective (see comment).  BJOG: an international journal of obstetrics and gynaecology 2004;111(6):521‐31. CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 62",https://www.ncbi.nlm.nih.gov/pubmed/15198778,15198778
"Herman A, Dreazen E, Tovbin J, Weinraub Z, Bukovsky Y, Maymon R. Comparison between disclosure and non‐disclosure approaches for trisomy 21 screening tests.  Human Reproduction (Oxford, England) 2002;17(5):1358‐62. CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 10",https://www.ncbi.nlm.nih.gov/pubmed/11980765,11980765
"Baviera G, Chimicata S, Domenico R, Granese R, Carbone C, Dugo N, et al. First‐ and second‐trimester ADAM12s in Down syndrome screening.  Clinical Chemistry 2010;56(8):1355‐7. CENTRAL  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 2",https://www.ncbi.nlm.nih.gov/pubmed/20511450,20511450
"Rozenberg P, Malagrida L, Cuckle H, Durand‐Zaleski I, Nisand I, Audibert F, et al. Down's syndrome screening with nuchal translucency at 12(+0)‐14(+0) weeks and maternal serum markers at 14(+1)‐17(+0) weeks: a prospective study.  Human Reproduction 2002;17(4):1093‐8. CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 14",https://www.ncbi.nlm.nih.gov/pubmed/11925411,11925411
"Rodrigues LC, Ramos‐Dias AM, Carvalho V, Cirurgiao F. Evaluation of four years of prenatal screening for aneuploidies in Hospital S. Francisco Xavier using the integrated test.  Journal of Medical Screening 2009;16(1):46‐7. CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 2",https://www.ncbi.nlm.nih.gov/pubmed/19349531,19349531
"Lam YH, Lee CP, Sin SY, Tang R, Wong HS, Wong SF, et al. Comparison and integration of first trimester fetal nuchal translucency and second trimester maternal serum screening for fetal Down syndrome.  Prenatal Diagnosis 2002;22(8):730‐5. CENTRAL  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 17",https://www.ncbi.nlm.nih.gov/pubmed/12210586,12210586
