citation_journal,link,PMID
"Farver‐Vestergaard I, O'Toole MS, O'Connor M, Lokke A, Bendstrup E, Basdeo SA, et al. Mindfulness‐based cognitive therapy in COPD: a cluster randomised controlled trial.  European Respiratory Journal 2018;51:1702082. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/29386337,29386337
"Godoy DV, Godoy RF. A randomized controlled trial of the effect of psychotherapy on anxiety and depression in chronic obstructive pulmonary disease.  Archives of Physical Medicine and Rehabilitation 2003;84:1154‐8. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/12917854,12917854
"Howard C, Dupont S. 'The COPD breathlessness manual': a randomised controlled trial to test a cognitive‐behavioural manual versus information booklets on health service use, mood and health status, in patients with chronic obstructive pulmonary disease.  Primary Care Respiratory Medicine 2014;24:14076. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25322078,25322078
"Kunik ME, Veazey C, Cully JA, Souchek J, Graham DP, Hopko D, et al. COPD education and cognitive behavioral therapy group treatment for clinically significant symptoms of depression and anxiety in COPD patients: a randomized controlled trial.  Psychological Medicine 2008;38:385‐96.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17922939,17922939
"Kunik ME, Braun U, Stanley MA, Wristers K, Molinari V, Stoebner D, et al. One session cognitive behavioural therapy for elderly patients with chronic obstructive pulmonary disease.  Psychological Medicine 2001;31:717‐23.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/11352373,11352373
"Doyle C, Bhar S, Fearn M, Ames D, Osborne D, You E, et al. The impact of telephone‐delivered cognitive behaviour therapy and befriending on mood disorders in people with chronic obstructive pulmonary disease: a randomized controlled trial.  British Journal of Health Psychology 2017;22:542‐56.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/28544504,28544504
"Perkins‐Porras L, Riaz M, Okekunle A, Zhelezna S, Chakravorty I, Ussher M. Feasibility study to assess the effect of a brief mindfulness intervention for patients with chronic obstructive pulmonary disease: a randomised controlled trial.  Chronic Respiratory Disease 2018;15(4):400‐10.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/29690786,29690786
"Jiang X, He G. Effects of an uncertainty management intervention on uncertainty, anxiety, depression, and quality of life of chronic obstructive pulmonary disease outpatients.  Research in Nursing and Health 2012;35:409‐18.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22511399,22511399
"Lee H, Yoon Y, Lim Y, Jung HY, Kim S, Yoo Y, et al. The effect of nurse‐led problem‐solving therapy on coping, self‐efficacy and depressive symptoms for patients with chronic obstructive pulmonary disease: a randomised controlled trial.  Age and Ageing 2015;44:397‐403.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25548124,25548124
"Hynninen MJ, Bjerke N, Pallesen S, Bakke PS, Nordhus IH. A randomized controlled trial of cognitive behavioral therapy for anxiety and depression in COPD.  Respiratory Medicine 2010;104:986‐94.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20346640,20346640
"Doyle C, Dunt D, Ames D, Fearn M, You E, Bhar S. Study protocol for a randomized controlled trial of telephone‐delivered cognitive behavior therapy compared with befriending for treating depression and anxiety in older adults with COPD.  International Journal of COPD 2016;11:327‐34.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26929616,26929616
"Rosser R, Denford J, Heslop A, Kinston W, Macklin D, Minty K, et al. Breathlessness and psychiatric morbidity in chronic bronchitis and emphysema: a study of psychotherapeutic management.  Psychological Medicine 1983;13:93‐110.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/6844471,6844471
"Schüz N, Walters JAE, Cameron‐Tucker H, Scott J, Wood‐Baker R, Walters EH. Patient anxiety and depression moderate the effects of increased self‐management knowledge on physical activity: a secondary analysis of a randomised controlled trial on health‐mentoring in COPD.  COPD: Journal of Chronic Obstructive Pulmonary Disease 2015;12(5):502‐9. CENTRAL    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25774660,25774660
"Lamers F, Jonkers CCM, Bosma H, Chavannes NH, Knottnerus JA, Eijk JTM. Improving quality of life in depressed COPD patients: effectiveness of a minimal psychological intervention.  COPD: Journal of Chronic Obstructive Pulmonary Disease 2010;7(5):315‐22.  CENTRAL   Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20854045,20854045
"Lamers F, Jonkers CCM, Bosma H, Diederiks JPM, Eijk JThM. Effectiveness and cost‐effectiveness of a minimal psychological intervention to reduce non‐severe depression in chronically ill elderly patients: the design of a randomised controlled trial [ISRCTN92331982].  BioMed Central (BMC) Publish Health 2006;6:161.  CENTRAL   Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/16790039,16790039
