citation_journal,link,PMID
"Zhang Y, Agnoletti D, Wang JG, Xu Y, Safar ME. Natriuresis and blood pressure reduction in hypertensive patients with diabetes mellitus: the NESTOR study.  Journal of the American Society of Hypertension 2015;9(1):21‐8.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25539895,25539895
"Okin PM, Bang CN, Wachtell K, Hille DA, Kjeldsen SE, Dahlof B, et al. Relationship of sudden cardiac death to new‐onset atrial fibrillation in hypertensive patients with left ventricular hypertrophy.  Circulation: Arrhythmia and Electrophysiology 2013;6(2):243‐51.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23403268,23403268
"Xiao WY, Ning N, Tan MH, Jiang XS, Zhou L, Liu L, et al. Effects of antihypertensive drugs losartan and levamlodipine besylate on insulin resistance in patients with essential hypertension combined with isolated impaired fasting glucose.  Hypertension Research 2016;39(8):321‐6.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26763851,26763851
"Wright JT, Dunn JK, Cutler JA, Davis BR, Cushman WC, Ford CE, et al. Outcomes in hypertensive black and nonblack patients treated with chlorthalidone, amlodipine, and lisinopril.  JAMA 2005;293(13):1595‐608.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15811979,15811979
"Neaton JD, Grimm RH, Prineas RJ, Stamler J, Grandits GA, Elmer PJ, et al. Treatment of Mild Hypertension Study. Final results. Treatment of Mild Hypertension Study Research Group.  JAMA 1993;270(6):713‐24.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/8336373,8336373
"Seedat YK, Randeree IG. Antihypertensive effect and tolerability of perindopril in Indian hypertensive and type 2 diabetic patients: 1‐year randomised, double‐blind, parallel study vs atenolol.  Clinical Drug Investigation 1998;16(3):229‐240.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/18370544,18370544
"Julius S, Alderman MH, Beevers G, Dahlöf B, Devereux RB, Douglas JG, et al. Cardiovascular risk reduction in hypertensive black patients with left ventricular hypertrophy: the LIFE study.  Journal of the American College of Cardiology 2004;43(6):1047‐55.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15028365,15028365
"Gerritsen TA, Bak AA, Stolk RP, Jonker JJ, Grobbee DE. Effects of nitrendipine and enalapril on left ventricular mass in patients with non‐insulin‐dependent diabetes mellitus and hypertension.  Journal of Hypertension 1998;16(5):689‐96.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/9797181,9797181
"Dahlöf B, Devereux RB, Kjeldsen SE, Julius S, Beevers G, Faire U, et al. Cardiovascular morbidity and mortality in the Losartan Intervention For Endpoint reduction in hypertension study (LIFE): a randomised trial against atenolol.  Lancet 2002;359(9311):995‐1003.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/11937178,11937178
"Lynch AI, Boerwinkle E, Davis BR, Ford CE, Eckfeldt JH, Leiendecker‐Foster C, et al. Antihypertensive pharmacogenetic effect of fibrinogen‐beta variant ‐455G>A on cardiovascular disease, end‐stage renal disease, and mortality: the GenHAT study.  Pharmacogenetics and Genomics 2009;19(6):415‐21.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19352213,19352213
"Wright JT, Harris‐Haywood S, Pressel S, Barzilay J, Baimbridge C, Bareis CJ, et al. Clinical outcomes by race in hypertensive patients with and without the metabolic syndrome: Antihypertensive and Lipid‐Lowering Treatment to Prevent Heart Attack Trial (ALLHAT).  Archives of Internal Medicine 2008;168(2):207‐17.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/18227370,18227370
"Tarnow L, Sato A, Ali S, Rossing P, Nielsen FS, Parving HH. Effects of nisoldipine and lisinopril on left ventricular mass and function in diabetic nephropathy.  Diabetes Care 1999;22(3):491‐4.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/10097934,10097934
"Julius S, Weber MA, Kjeldsen SE, McInnes GT, Zanchetti A, Brunner HR, et al. The Valsartan Antihypertensive Long‐Term Use Evaluation (VALUE) trial: outcomes in patients receiving monotherapy.  Hypertension 2006;48(3):385‐91.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/16864741,16864741
"Derosa G, Bonaventura A, Bianchi DRL, Fogari E, Angelo AD, Maffioli P. Effects of enalapril/lercanidipine combination on some emerging biomarkers in cardiovascular risk stratification in hypertensive patients.  Journal of Clinical Pharmacy and Therapeutics 2014;39:277–85.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/24635387,24635387
"Hauf‐Zachariou U, Widmann L, Zülsdorf B, Hennig M, Lang PD. A double‐blind comparison of the effects of carvedilol and captopril on serum lipid concentrations in patients with mild to moderate essential hypertension and dyslipidaemia.  European Journal of Clinical Pharmacology 1993;45(2):95‐100.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/8223847,8223847
"Leenen FH, Nwachuku CE, Black HR, Cushman WC, Davis BR, Simpson LM, et al. Clinical events in high‐risk hypertensive patients randomly assigned to calcium channel blocker versus angiotensin‐converting enzyme inhibitor in the Antihypertensive and Lipid‐Lowering Treatment to Prevent Heart Attack Trial.  Hypertension 2006;48(3):374‐84.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/16864749,16864749
"Dahlöf B, Devereux RB, Julius S, Kjeldsen SE, Beevers G, Faire U, et al. Characteristics of 9194 patients with left ventricular hypertrophy: the LIFE study. Losartan Intervention For Endpoint Reduction in Hypertension.  Hypertension 1998;32(6):989‐97.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/9856962,9856962
"Terpstra WF, May JF, Smit AJ, Graeff PA, Meyboom‐de Jong B, Crijns HJ. Effects of amlodipine and lisinopril on intima‐media thickness in previously untreated, elderly hypertensive patients (the ELVERA trial).  Journal of Hypertension 2004;22(7):1309‐16.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15201546,15201546
"Julius S, Kjeldsen SE, Weber M, Brunner HR, Ekman S, Hansson L, et al. Outcomes in hypertensive patients at high cardiovascular risk treated with regimens based on valsartan or amlodipine: the VALUE randomised trial.  Lancet 2004;363(9426):2022‐31.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15207952,15207952
"Lynch AI, Boerwinkle E, Davis BR, Ford CE, Eckfeldt JH, Leiendecker‐Foster C, et al. Pharmacogenetic association of the NPPA T2238C genetic variant with cardiovascular disease outcomes in patients with hypertension. [Erratum appears in JAMA. 2009 Sep 9;302(10):1057‐8].  JAMA 2008;299(3):296‐307.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/18212314,18212314
