citation_journal,link,PMID
"Martin DF, Maguire MG, Fine SL, Ying GS, Jaffe GJ, Grunwald JE, et al. Ranibizumab and bevacizumab for treatment of neovascular age‐related macular degeneration: two‐year results.  Ophthalmology 2012;119(7):1388‐98. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22555112,22555112
"CATT Research Group, Maguire MG, Martin DF, Ying GS, Jaffe GJ, Daniel E, Grunwald JE. Five‐year outcomes with anti‐vascular endothelial growth factor treatment of neovascular age‐related macular degeneration: the Comparison of Age‐Related Macular Degeneration Treatments Trials.  Ophthalmology 2016;123(8):1751‐61. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/27156698,27156698
"Ying GS, Maguire MG, Daniel E, Ferris FL, Jaffe GJ, Grunwald JE, et al. Association of baseline characteristics and early vision response with 2‐year vision outcomes in the Comparison of AMD Treatments Trials (CATT).  Ophthalmology 2015;122(12):2523‐31. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26383996,26383996
"Barbazetto IA, Saroj N, Shapiro H, Wong P, Ho AC, Freund KB. Incidence of new choroidal neovascularization in fellow eyes of patients treated in the MARINA and ANCHOR trials.  American Journal of Ophthalmology 2010;149(6):939‐46. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20378094,20378094
"Patel PJ, Tufail A, Bunce C, Cruz L, Dowler J, Egan C, et al. A randomised, double‐masked phase III/IV study of the efficacy and safety of Avastin® (Bevacizumab) intravitreal injections compared to standard therapy in subjects with choroidal neovascularisation secondary to age‐related macular degeneration: clinical trial design.  Trials 2008;9:56. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/18854025,18854025
"Altaweel MM, Daniel E, Martin DF, Mittra RA, Grunwald JE, Lai MM, et al. Outcomes of eyes with lesions composed of >50% blood in the comparison of age‐related macular degeneration treatments trials (CATT).  Ophthalmology 2015;122(2):391‐8. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25307130,25307130
"Abraham P, Yue H, Wilson L. Randomized, double‐masked, sham‐controlled trial of ranibizumab for neovascular age‐related macular degeneration: PIER study year 2.  American Journal of Ophthalmology 2010;150(3):315‐24. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20598667,20598667
"Barbazetto IA, Saroj N, Shapiro H, Wong P, Ho AC, Freund KB. Incidence of new choroidal neovascularization in fellow eyes of patients treated in the MARINA and ANCHOR trials.  American Journal of Ophthalmology 2010;149(6):939‐46. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20378094,20378094
"Hurley SF, Matthews JP, Guymer RH. Cost‐effectiveness of ranibizumab for neovascular age‐related macular degeneration.  Cost Effectiveness and Resource Allocation 2008;6:12. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/18573218,18573218
"Bressler NM, Chang TS, Fine JT, Dolan CM, Ward J, Anti‐VEGF Antibody for the Treatment of Predominantly Classic Choroidal Neovascularization in Age‐Related Macular Degeneration (ANCHOR) Research Group. Improved vision‐related function after ranibizumab vs photodynamic therapy: a randomized clinical trial.  Archives of Ophthalmology 2009;127(1):13‐21.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19139332,19139332
"Grunwald JE, Daniel E, Ying GS, Pistilli M, Maguire MG, Alexander J, et al. Photographic assessment of baseline fundus morphologic features in the Comparison of Age‐Related Macular Degeneration Treatments Trials.  Ophthalmology 2012;119(8):1634‐41.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22512984,22512984
"Barbazetto I, Saroj N, Shapiro H, Wong P, Freund KB. Dosing regimen and the frequency of macular hemorrhages in neovascular age‐related macular degeneration treated with ranibizumab.  Retina 2010;30(9):1376‐85.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20683380,20683380
"Ying GS, Huang J, Maguire MG, Jaffe GJ, Grunwald JE, Toth C, et al. Baseline predictors for one‐year visual outcomes with ranibizumab or bevacizumab for neovascular age‐related macular degeneration.  Ophthalmology 2013;120(1):122‐9.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23047002,23047002
