citation_journal,link,PMID
"Dingeman RS, Barus LM, Chung HK, Clendenin DJ, Lee CS, Tracy S, et al. Ultrasonography‐guided bilateral rectus sheath block vs local anesthetic infiltration after pediatric umbilical hernia repair: a prospective randomized clinical trial.  JAMA Surgery 2013;148(8):707‐13. [PUBMED: 23760519] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23760519,23760519
"Nan Y, Zhou J, Ma Q, Li T, Lian QQ, Li J. Application of ultrasound guidance for ilioinguinal or iliohypogastric nerve block in paediatric inguinal surgery.  Zhonghua Yi Xue Za Zhi 2012;92(13):873‐7. [PUBMED: 22781525] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22781525,22781525
"Marhofer P, Sitzwohl C, Greher M, Kapral S. Ultrasound guidance for infraclavicular brachial plexus anaesthesia in children.  Anaesthesia 2004;59(7):642‐6. [DOI: 10.1111/j.1365‐2044.2004.03669.x; PUBMED: 15200537] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15200537,15200537
"O'Sullivan MJ, Mislovic B, Alexander E. Dorsal penile nerve block for male paediatric circumcision ‐ randomized comparison of ultrasound‐guided vs anatomical landmark technique.  Paediatric Anaesthesia 2011;21(12):1214‐8. [DOI: 10.1111/j.1460‐9592.2011.03722.x; PUBMED: 22023417] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22023417,22023417
"Teunkens A, Velde M, Vermeulen K, Loon P, Bogaert G, Fieuws S, et al. Dorsal penile nerve block for circumcision in pediatric patients: a prospective, observer‐blinded, randomized controlled clinical trial for the comparison of ultrasound‐guided vs landmark technique.  Pediatric Anesthesia 2018;28(8):703‐9. [DOI: 10.1111/pan.13429; PUBMED: 30035357] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/30035357,30035357
"Liu W, Liu J, Tan X, Wang S. Ultrasound‐guided lower forearm median nerve block in open surgery for trigger thumb in 1‐ to 3‐year‐old children: a randomized trial.  Paediatric Anaesthesia 2018;28(2):134‐41. [DOI: 10.1111/pan.13296; PUBMED: 29205686] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/29205686,29205686
"Weintraud M, Lundblad M, Kettner SC, Willschke H, Kapral S, Lonnqvist PA, et al. Ultrasound versus landmark‐based technique for ilioinguinal‐iliohypogastric nerve blockade in children: the implications on plasma levels of ropivacaine.  Anesthesia and Analgesia 2009;108(5):1488‐92. [DOI: 10.1213/ane.0b013e31819cb1f3; PUBMED: 19372326] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19372326,19372326
"Liu JZ, Wu XQ, Li R, Zhang YJ. A comparison of ultrasonography versus traditional approach for caudal block in children.  Zhonghua Yi Xue Za Zhi 2012;92(13):882‐5. [PUBMED: 22781527] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22781527,22781527
"Litz CN, Farach SM, Fernandez AM, Elliott R, Dolan J, Patel N, et al. Percutaneous ultrasound‐guided vs. intraoperative rectus sheath block for pediatric umbilical hernia repair: a randomized clinical trial.  Journal of Pediatric Surgery 2017;52(6):901‐6. [DOI: 10.1016/j.jpedsurg.2017.03.007; PUBMED: 28377023] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/28377023,28377023
"Willschke H, Marhofer P, Bosenberg A, Johnston S, Wanzel O, Cox SG, et al. Ultrasonography for ilioinguinal/iliohypogastric nerve blocks in children.  British Journal of Anaesthesia 2005;95(2):226‐30. [DOI: 10.1093/bja/aei157; PUBMED: 15923270] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15923270,15923270
"Kendigelen P, Tutuncu AC, Erbabacan E, Ekici B, Koksal G, Altindas F, et al. Ultrasound‐assisted transversus abdominis plane block vs wound infiltration in pediatric patient with inguinal hernia: randomized controlled trial.  Journal of Clinical Anesthesia 2016;30:9‐14. [DOI: 10.1016/j.jclinane.2015.12.027; PUBMED: 27041256] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/27041256,27041256
"Wang LZ, Hu XX, Zhang YF, Chang XY. A randomized comparison of caudal block by sacral hiatus injection under ultrasound guidance with traditional sacral canal injection in children.  Paediatric Anaesthesia 2013;23(5):395‐400. [PUBMED: 23278906] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23278906,23278906
"Faraoni D, Gilbeau A, Lingier P, Barvais L, Engelman E, Hennart D. Does ultrasound guidance improve the efficacy of dorsal penile nerve block in children?.  Paediatric Anaesthesia 2010;20(10):931‐6. [PUBMED: 20849498] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20849498,20849498
"Flack SH, Martin LD, Walker BJ, Bosenberg AT, Helmers LD, Goldin AB, et al. Ultrasound‐guided rectus sheath block or wound infiltration in children: a randomized blinded study of analgesia and bupivacaine absorption.  Paediatric Anaesthesia 2014;24(9):968‐73. [DOI: 10.1111/pan.12438; PUBMED: 24853314] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/24853314,24853314
