citation_journal,link,PMID
"Fontaine A, Mahé I, Bergmann JF, Fiessinger JN, Dhote R, Cohen P, et al. Effectiveness of written guidelines on the appropriateness of thromboprophylaxis prescriptions for medical patients: a prospective randomized study.  Journal of Internal Medicine 2006;260(4):369‐76. [DOI: 10.1111/j.1365‐2796.2006.01699.x] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/16961674,16961674
"Kucher N, Koo S, Quiroz R, Cooper JM, Paterno MD, Soukonnikov B, et al. Electronic alerts to prevent venous thromboembolism among hospitalized patients.  New England Journal of Medicine 2005;352(10):969‐77. [DOI: 10.1056/NEJMoa041533] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15758007,15758007
"Pai M, Lloyd NS, Cheng J, Thabane L, Spencer FA, Cook DJ, et al. Strategies to enhance venous thromboprophylaxis in hospitalized medical patients (SENTRY): a pilot cluster randomized trial.  Implementation Science 2013;8:1. [DOI: 10.1186/1748‐5908‐8‐1] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23279972,23279972
"Roy PM, Rachas A, Meyer G, Gal G, Durieux P, Kouri D, et al. Multifaceted intervention to prevent venous thromboembolism in patients hospitalized for acute medical illness: a multicenter cluster‐randomized trial.  PLoS One 2016;11(5):e0154832. [DOI: 10.1371/journal.pone.0154832] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/27227406,27227406
"Hinchey JA, Shephard T, Tonn ST, Ruthazer R, Herman RC, Selker HP, et al. The stroke practice improvement network: a quasi‐experimental trial of a multifaceted intervention to improve quality.  Journal of Stroke and Cerebrovascular Diseases 2010;19(2):130‐7. [DOI: 10.1016/j.jstrokecerebrovasdis.2009.03.016] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20189089,20189089
"Overhage JM, Tierney WM, McDonald CJ. Computer reminders to implement preventive care guidelines for hospitalized patients.  Archives of Internal Medicine 1996;156(14):1551‐6. [PMID: 8687263 ] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/8687263,8687263
"Garcia DA, Highfill J, Finnerty K, Varoz E, McConkey S, Hutchinson K, et al. A prospective, controlled trial of a pharmacy‐driven alert system to increase thromboprophylaxis rates in medical inpatients.  Blood Coagulation and Fibrinolysis 2009;20(7):541‐5. [DOI: 10.1097/MBC.0b013e32832d6cfc] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19584716,19584716
"Cavalcanti AB, Bozza FA, Machado FR, Salluh JI, Campagnucci VP, Vendramim P, et al. Effect of a quality improvement intervention with daily round checklists, goal setting, and clinician prompting on mortality of critically ill patients: a randomized clinical trial.  JAMA 2016;315(14):1480‐90. [DOI: 10.1001/jama.2016.3463] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/27115264,27115264
"Labarere J, Bosson JL, Sevestre MA, Sellier E, Richaud C, Legagneux A. Intervention targeted at nurses to improve venous thromboprophylaxis.  International Journal for Quality in Health Care 2007;19(5):301‐8. [DOI: 10.1093/intqhc/mzm034] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17726037,17726037
"Dexter PR, Perkins S, Overhage JM, Maharry K, Kohler RB, McDonald CJ. A computerized reminder system to increase the use of preventive care for hospitalized patients.  New England Journal of Medicine 2001;345(13):965‐70. [DOI: 10.1056/NEJMsa010181] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/11575289,11575289
"Anderson FA, Wheeler HB, Goldberg RJ, Hosmer DW, Forcier A, Patwardhan NA. Changing clinical practice. Prospective study of the impact of continuing medical education and quality assurance programs on use of prophylaxis for venous thromboembolism.  Archives of Internal Medicine 1994;154(6):669‐77. [PMID: 8129501] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/8129501,8129501
"Piazza G, Rosenbaum EJ, Pendergast W, Jacobson JO, Pendleton RC, McLaren GD, et al. Physician alerts to prevent symptomatic venous thromboembolism in hospitalized patients.  Circulation 2009;119(16):2196‐201. [DOI: 10.1161/CIRCULATIONAHA.108.841197] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19364975,19364975
"Paterno MD, Cina JL, Goldhaber SZ, Kucher N. Preventing DVT and PE in hospitalized patients: improving a successful electronic alert. AMIA Annual Symposium Proceedings2006:1058. [PMCID: PMC1839306] CENTRAL   Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17238677,17238677
