citation_journal,link,PMID
"Gerber B, Minckwitz G, Stehle H, Reimer T, Felberbaum R, Maass N, et al. Effect of luteinizing hormone‐releasing hormone agonist on ovarian function after modern adjuvant breast cancer chemotherapy: the GBG 37 ZORO study.  Journal of Clinical Oncology 2011;29(17):2334‐41.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/21537042,21537042
"Karimi‐Zarchi M, Forat‐Yazdi M, Vafaeenasab MR, Nakhaie‐Moghadam M, Miratashi‐Yazdi A, Teimoori S, et al. Evaluation of the effect of GnRH agonist on menstrual reverse in breast cancer cases treated with cyclophosphamide.  European Journal of Gynaecological Oncology 2014;35(1):59‐61.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/24654464,24654464
"Mastro L, Boni L, Michelotti A, Gamucci T, Olmeo N, Gori S, et al. Effect of the gonadotropin‐releasing hormone analogue triptorelin on the occurrence of chemotherapy‐induced early menopause in premenopausal women with breast cancer: a randomized trial.  Journal of the American Medical Association 2011;306(3):269‐76.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/21771987,21771987
"Badawy A, Elnashar A, El‐Ashry M, Shahat M. Gonadotropin‐releasing hormone agonists for prevention of chemotherapy‐induced ovarian damage: prospective randomized study.  Fertility and Sterility 2009;91:694‐7.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/18675959,18675959
"Moore HC, Unger JM, Phillips KA, Boyle F, Hitre E, Porter D, et al. Goserelin for ovarian protection during breast‐cancer adjuvant chemotherapy.  New England Journal of Medicine 2015;372(10):923‐32.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25738668,25738668
"Leonard RC, Adamson DJ, Bertelli G, Mansi J, Yellowlees A, Dunlop J, et al. GnRH agonist for protection against ovarian toxicity during chemotherapy for early breast cancer: the Anglo Celtic Group OPTION trial.  Annals of Oncology 2017;28:1811‐6.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/28472240,28472240
"Lambertini M, Boni L, Michelotti A, Gamucci T, Scotto T, Gori S, et al. Ovarian suppression with triptorelin during adjuvant breast cancer chemotherapy and long‐term ovarian function, pregnancies, and disease‐free survival: a randomized clinical trial.  Journal of the American Medical Association 2015;314(24):2632‐40.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26720025,26720025
"Waxman JH, Ahmed R, Smith D, Wrigley PF, Gregory W, Shalet S, et al. Failure to preserve fertility in patients with Hodgkin's disease.  Cancer Chemotherapy and Pharmacology 1987;19:159‐62.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/3105906,3105906
"Song G, Gao H, Yuan Z. Effect of leuprolide acetate on ovarian function after cyclophosphamide‐doxorubicin‐based chemotherapy in premenopausal patients with breast cancer: results from a phase II randomized trial.  Medical Oncology (Northwood, London, England) 2013;30(3):667.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23904400,23904400
"Giuseppe L, Attilio G, Edoardo DN, Loredana G, Cristina L, Vincenzo L. Ovarian function after cancer treatment in young women affected by Hodgkin disease (HD).  Hematology 2007;12:141‐7.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17454195,17454195
"Munster PN, Moore AP, Ismailkhan R, Cox CE, Lacevic M, Gross‐King M, et al. Randomized trial using gonadotropin‐releasing hormone agonist triptorelin for the preservation of ovarian function during (neo)adjuvant chemotherapy for breast cancer.  Journal of Clinical Oncology 2012;30(5):533‐8.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22231041,22231041
"Elgindy EA, El‐Haieg DO, Khorshid OM, Ismail EI, Abdelgawad M, Sallam HN, et al. Gonadatrophin suppression to prevent chemotherapy‐induced ovarian damage: a randomized controlled trial.  Obsterics and Gynecology 2013;121(1):78‐86.  CENTRAL   Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23262931,23262931
